machine_id,timestamp,temperature,vibration,pressure
PUMP_A,2026-02-26 14:22:51,72.66,1.595,4.08
PUMP_B,2026-02-26 14:22:51,72.16,2.334,4.09
MOTOR_C,2026-02-26 14:22:51,62.76,2.178,3.94
COMPRESSOR_D,2026-02-26 14:22:51,63.89,1.182,4.35
PUMP_A,2026-02-26 14:22:53,65.94,1.672,3.91
PUMP_B,2026-02-26 14:22:53,65.47,2.11,3.96
MOTOR_C,2026-02-26 14:22:53,66.08,1.295,4.22
COMPRESSOR_D,2026-02-26 14:22:53,73.47,2.377,3.75
PUMP_A,2026-02-26 14:22:55,63.63,1.852,4.22
PUMP_B,2026-02-26 14:22:55,67.89,1.505,4.4
MOTOR_C,2026-02-26 14:22:55,67.05,2.01,4.0
COMPRESSOR_D,2026-02-26 14:22:55,63.59,2.393,3.98
PUMP_A,2026-02-26 14:22:57,64.58,1.799,4.43
PUMP_B,2026-02-26 14:22:57,72.04,1.273,3.64
MOTOR_C,2026-02-26 14:22:57,73.9,1.212,4.44
COMPRESSOR_D,2026-02-26 14:22:57,62.77,2.233,4.59
PUMP_A,2026-02-26 14:22:59,73.43,2.254,4.12
PUMP_B,2026-02-26 14:22:59,65.06,2.326,4.77
MOTOR_C,2026-02-26 14:22:59,63.12,1.878,4.71
COMPRESSOR_D,2026-02-26 14:22:59,68.75,1.767,4.14
PUMP_A,2026-02-26 14:23:01,64.35,2.075,4.09
PUMP_B,2026-02-26 14:23:01,72.05,1.703,3.72
MOTOR_C,2026-02-26 14:23:01,72.18,2.312,4.32
COMPRESSOR_D,2026-02-26 14:23:01,70.17,1.285,4.55
PUMP_A,2026-02-26 14:23:03,71.59,1.788,3.92
PUMP_B,2026-02-26 14:23:03,65.79,1.338,4.42
MOTOR_C,2026-02-26 14:23:03,68.9,1.056,3.85
COMPRESSOR_D,2026-02-26 14:23:03,73.99,1.129,4.78
PUMP_A,2026-02-26 14:23:05,73.08,2.379,4.19
PUMP_B,2026-02-26 14:23:05,66.15,1.297,4.58
MOTOR_C,2026-02-26 14:23:05,66.49,2.02,3.69
COMPRESSOR_D,2026-02-26 14:23:05,72.86,2.292,3.71
PUMP_A,2026-02-26 14:23:07,65.16,1.422,4.04
PUMP_B,2026-02-26 14:23:07,72.19,1.283,4.7
MOTOR_C,2026-02-26 14:23:07,64.93,1.52,4.02
COMPRESSOR_D,2026-02-26 14:23:07,71.27,2.233,4.32
PUMP_A,2026-02-26 14:23:09,72.65,1.3,4.64
PUMP_B,2026-02-26 14:23:09,73.82,1.163,4.69
MOTOR_C,2026-02-26 14:23:09,70.95,1.71,3.75
COMPRESSOR_D,2026-02-26 14:23:09,62.46,1.956,4.31
PUMP_A,2026-02-26 14:23:11,73.19,2.191,4.36
PUMP_B,2026-02-26 14:23:11,68.64,1.322,3.83
MOTOR_C,2026-02-26 14:23:11,62.8,1.869,4.54
COMPRESSOR_D,2026-02-26 14:23:11,73.72,2.223,4.75
PUMP_A,2026-02-26 14:23:13,63.22,2.26,4.72
PUMP_B,2026-02-26 14:23:13,64.16,1.395,4.47
MOTOR_C,2026-02-26 14:23:13,65.13,2.261,3.93
COMPRESSOR_D,2026-02-26 14:23:13,69.1,2.145,3.7
PUMP_A,2026-02-26 14:23:15,69.89,2.341,4.74
PUMP_B,2026-02-26 14:23:15,69.95,1.285,3.62
MOTOR_C,2026-02-26 14:23:15,66.94,1.224,4.52
COMPRESSOR_D,2026-02-26 14:23:15,70.51,1.059,3.96
PUMP_A,2026-02-26 14:23:15,68.66,1.131,4.65
PUMP_B,2026-02-26 14:23:15,73.21,1.915,4.24
MOTOR_C,2026-02-26 14:23:15,66.09,1.376,4.15
COMPRESSOR_D,2026-02-26 14:23:15,65.81,2.056,4.77
PUMP_A,2026-02-26 14:23:17,65.56,1.202,4.06
PUMP_B,2026-02-26 14:23:17,67.61,2.16,4.7
MOTOR_C,2026-02-26 14:23:17,62.67,1.779,3.74
COMPRESSOR_D,2026-02-26 14:23:17,67.72,1.38,4.31
PUMP_A,2026-02-26 14:23:19,73.84,1.11,4.38
PUMP_B,2026-02-26 14:23:19,64.48,1.724,4.67
MOTOR_C,2026-02-26 14:23:19,69.94,1.967,4.15
COMPRESSOR_D,2026-02-26 14:23:19,64.99,1.565,4.5
PUMP_A,2026-02-26 14:23:21,64.15,1.753,4.72
PUMP_B,2026-02-26 14:23:21,72.45,2.128,4.15
MOTOR_C,2026-02-26 14:23:21,72.43,2.157,3.63
COMPRESSOR_D,2026-02-26 14:23:21,65.22,1.956,3.94
PUMP_A,2026-02-26 14:23:23,62.02,1.472,4.29
PUMP_B,2026-02-26 14:23:23,68.17,2.0,3.62
MOTOR_C,2026-02-26 14:23:23,67.44,2.359,4.22
COMPRESSOR_D,2026-02-26 14:23:23,65.17,1.479,3.61
PUMP_A,2026-02-26 14:23:25,82.59,4.43,2.05
PUMP_B,2026-02-26 14:23:25,72.86,1.242,4.77
MOTOR_C,2026-02-26 14:23:25,73.18,2.013,4.75
COMPRESSOR_D,2026-02-26 14:23:25,70.16,1.65,4.68
PUMP_A,2026-02-26 14:23:27,90.07,3.345,2.06
PUMP_B,2026-02-26 14:23:27,71.37,1.099,4.38
MOTOR_C,2026-02-26 14:23:27,66.63,2.26,4.21
COMPRESSOR_D,2026-02-26 14:23:27,72.91,1.676,4.16
PUMP_A,2026-02-26 14:23:29,89.84,4.423,2.78
PUMP_B,2026-02-26 14:23:29,67.34,1.191,4.17
MOTOR_C,2026-02-26 14:23:29,67.79,2.324,4.73
COMPRESSOR_D,2026-02-26 14:23:29,72.19,2.058,3.99
PUMP_A,2026-02-26 14:23:31,91.59,3.471,2.13
PUMP_B,2026-02-26 14:23:31,70.9,1.905,4.2
MOTOR_C,2026-02-26 14:23:31,64.32,1.695,4.77
COMPRESSOR_D,2026-02-26 14:23:31,63.76,1.107,4.1
PUMP_A,2026-02-26 14:23:33,94.75,3.917,2.55
PUMP_B,2026-02-26 14:23:33,68.99,2.361,4.62
MOTOR_C,2026-02-26 14:23:33,63.85,1.054,4.56
COMPRESSOR_D,2026-02-26 14:23:33,65.37,2.364,4.43
PUMP_A,2026-02-26 14:23:35,84.33,3.727,2.5
PUMP_B,2026-02-26 14:23:35,71.8,1.383,3.98
MOTOR_C,2026-02-26 14:23:35,65.07,2.268,3.71
COMPRESSOR_D,2026-02-26 14:23:35,69.9,2.021,3.78
PUMP_A,2026-02-26 14:23:37,88.63,4.008,2.29
PUMP_B,2026-02-26 14:23:37,65.06,2.088,4.59
MOTOR_C,2026-02-26 14:23:37,67.16,1.948,3.62
COMPRESSOR_D,2026-02-26 14:23:37,70.3,1.968,4.11
PUMP_A,2026-02-26 14:23:39,87.09,3.252,3.0
PUMP_B,2026-02-26 14:23:39,67.44,1.806,4.4
MOTOR_C,2026-02-26 14:23:39,64.82,1.613,4.61
COMPRESSOR_D,2026-02-26 14:23:39,68.36,1.275,3.93
PUMP_A,2026-02-26 14:23:41,93.12,3.557,2.41
PUMP_B,2026-02-26 14:23:41,65.69,2.303,3.89
MOTOR_C,2026-02-26 14:23:41,66.4,1.284,4.32
COMPRESSOR_D,2026-02-26 14:23:41,71.39,2.321,4.67
PUMP_A,2026-02-26 14:23:43,85.67,3.418,2.6
PUMP_B,2026-02-26 14:23:43,66.8,1.948,4.65
MOTOR_C,2026-02-26 14:23:43,65.71,1.848,4.19
COMPRESSOR_D,2026-02-26 14:23:43,70.73,1.304,3.78
PUMP_A,2026-02-26 14:23:45,94.88,4.508,2.85
PUMP_B,2026-02-26 14:23:45,64.53,1.007,4.03
MOTOR_C,2026-02-26 14:23:45,67.47,1.329,4.01
COMPRESSOR_D,2026-02-26 14:23:45,73.21,2.037,3.81
PUMP_A,2026-02-26 14:23:44,91.33,3.69,2.97
PUMP_B,2026-02-26 14:23:44,64.79,1.719,4.59
MOTOR_C,2026-02-26 14:23:44,70.31,1.908,4.78
COMPRESSOR_D,2026-02-26 14:23:44,72.63,2.38,4.78
PUMP_A,2026-02-26 14:23:46,94.44,4.127,2.84
PUMP_B,2026-02-26 14:23:46,63.15,2.26,4.02
MOTOR_C,2026-02-26 14:23:46,66.47,1.565,4.41
COMPRESSOR_D,2026-02-26 14:23:46,70.03,1.231,4.56
PUMP_A,2026-02-26 14:23:49,93.08,3.431,2.01
PUMP_B,2026-02-26 14:23:49,69.45,1.163,4.72
MOTOR_C,2026-02-26 14:23:49,62.78,1.181,4.34
COMPRESSOR_D,2026-02-26 14:23:49,62.24,1.923,4.76
PUMP_A,2026-02-26 14:23:51,90.84,4.36,2.56
PUMP_B,2026-02-26 14:23:51,73.12,1.51,4.7
MOTOR_C,2026-02-26 14:23:51,73.37,1.393,4.42
COMPRESSOR_D,2026-02-26 14:23:51,71.24,1.184,3.85
PUMP_A,2026-02-26 14:23:53,91.42,3.934,2.66
PUMP_B,2026-02-26 14:23:53,68.85,1.753,4.43
MOTOR_C,2026-02-26 14:23:53,66.31,1.539,3.91
COMPRESSOR_D,2026-02-26 14:23:53,71.47,2.332,4.11
PUMP_A,2026-02-26 14:23:55,93.22,4.274,2.87
PUMP_B,2026-02-26 14:23:55,66.43,1.506,3.94
MOTOR_C,2026-02-26 14:23:55,65.77,1.674,3.61
COMPRESSOR_D,2026-02-26 14:23:55,67.73,1.947,3.69
PUMP_A,2026-02-26 14:23:57,91.76,3.716,2.47
PUMP_B,2026-02-26 14:23:57,70.86,1.814,3.82
MOTOR_C,2026-02-26 14:23:57,63.7,1.115,3.71
COMPRESSOR_D,2026-02-26 14:23:57,65.36,1.405,3.93
PUMP_A,2026-02-26 14:23:59,85.75,3.289,2.44
PUMP_B,2026-02-26 14:23:59,71.05,1.62,4.74
MOTOR_C,2026-02-26 14:23:59,73.61,1.677,4.72
COMPRESSOR_D,2026-02-26 14:23:59,64.82,2.213,3.69
PUMP_A,2026-02-26 14:24:01,86.47,4.358,2.39
PUMP_B,2026-02-26 14:24:01,65.96,1.233,3.78
MOTOR_C,2026-02-26 14:24:01,63.65,1.111,4.71
COMPRESSOR_D,2026-02-26 14:24:01,67.17,1.229,4.67
PUMP_A,2026-02-26 14:24:03,83.97,3.329,2.6
PUMP_B,2026-02-26 14:24:03,65.81,1.686,4.31
MOTOR_C,2026-02-26 14:24:03,62.36,2.292,4.28
COMPRESSOR_D,2026-02-26 14:24:03,73.26,1.895,4.57
PUMP_A,2026-02-26 14:24:05,93.67,3.638,2.62
PUMP_B,2026-02-26 14:24:05,69.02,1.056,3.62
MOTOR_C,2026-02-26 14:24:05,69.07,1.308,4.37
COMPRESSOR_D,2026-02-26 14:24:05,72.13,1.943,4.49
PUMP_A,2026-02-26 14:24:07,89.79,3.977,2.9
PUMP_B,2026-02-26 14:24:07,63.27,1.282,4.56
MOTOR_C,2026-02-26 14:24:07,65.14,1.637,4.01
COMPRESSOR_D,2026-02-26 14:24:07,69.28,1.596,3.77
PUMP_A,2026-02-26 14:24:09,87.05,3.914,2.45
PUMP_B,2026-02-26 14:24:09,68.35,2.127,3.63
MOTOR_C,2026-02-26 14:24:09,69.03,1.795,3.8
COMPRESSOR_D,2026-02-26 14:24:09,73.1,1.281,3.83
PUMP_A,2026-02-26 14:24:11,88.41,4.693,2.89
PUMP_B,2026-02-26 14:24:11,72.46,2.112,4.69
MOTOR_C,2026-02-26 14:24:11,63.52,1.604,4.12
COMPRESSOR_D,2026-02-26 14:24:11,63.91,1.32,4.29
PUMP_A,2026-02-26 14:24:13,83.79,4.274,2.84
PUMP_B,2026-02-26 14:24:13,66.39,1.753,4.16
MOTOR_C,2026-02-26 14:24:13,62.85,1.833,3.67
COMPRESSOR_D,2026-02-26 14:24:13,67.13,2.124,4.15
PUMP_A,2026-02-26 14:24:15,92.49,3.478,2.56
PUMP_B,2026-02-26 14:24:15,69.32,2.024,4.39
MOTOR_C,2026-02-26 14:24:15,66.67,1.291,4.19
COMPRESSOR_D,2026-02-26 14:24:15,65.11,1.739,3.63
PUMP_A,2026-02-26 14:24:17,90.03,4.561,2.97
PUMP_B,2026-02-26 14:24:17,67.41,1.511,4.28
MOTOR_C,2026-02-26 14:24:17,63.59,1.301,3.76
COMPRESSOR_D,2026-02-26 14:24:17,65.21,1.834,4.41
PUMP_A,2026-02-26 14:24:16,88.42,3.656,2.7
PUMP_B,2026-02-26 14:24:16,63.05,1.48,4.49
MOTOR_C,2026-02-26 14:24:16,67.08,1.578,4.19
COMPRESSOR_D,2026-02-26 14:24:16,62.82,1.733,3.71
PUMP_A,2026-02-26 14:24:18,92.22,4.598,2.77
PUMP_B,2026-02-26 14:24:18,70.13,1.467,4.15
MOTOR_C,2026-02-26 14:24:18,64.16,2.139,3.61
COMPRESSOR_D,2026-02-26 14:24:18,64.65,1.75,4.72
PUMP_A,2026-02-26 14:24:20,92.19,3.38,2.39
PUMP_B,2026-02-26 14:24:20,73.14,1.366,3.9
MOTOR_C,2026-02-26 14:24:20,73.04,1.998,3.8
COMPRESSOR_D,2026-02-26 14:24:20,71.33,1.128,4.48
PUMP_A,2026-02-26 14:24:22,93.49,3.52,2.73
PUMP_B,2026-02-26 14:24:22,65.02,1.248,3.78
MOTOR_C,2026-02-26 14:24:22,73.32,1.365,3.94
COMPRESSOR_D,2026-02-26 14:24:22,69.33,1.581,3.84
PUMP_A,2026-02-26 14:24:24,90.63,3.268,2.09
PUMP_B,2026-02-26 14:24:24,62.58,1.133,4.8
MOTOR_C,2026-02-26 14:24:24,65.57,2.162,4.02
COMPRESSOR_D,2026-02-26 14:24:24,73.24,1.577,4.67
PUMP_A,2026-02-26 14:24:26,87.03,4.734,2.19
PUMP_B,2026-02-26 14:24:26,62.26,1.783,3.68
MOTOR_C,2026-02-26 14:24:26,65.08,1.626,3.74
COMPRESSOR_D,2026-02-26 14:24:26,66.97,1.405,3.84
PUMP_A,2026-02-26 14:24:28,92.83,4.57,2.88
PUMP_B,2026-02-26 14:24:28,67.51,2.187,4.29
MOTOR_C,2026-02-26 14:24:28,70.55,1.86,4.14
COMPRESSOR_D,2026-02-26 14:24:28,70.59,2.333,3.74
PUMP_A,2026-02-26 14:24:30,89.66,3.722,2.48
PUMP_B,2026-02-26 14:24:30,70.34,1.729,3.88
MOTOR_C,2026-02-26 14:24:30,69.47,1.711,4.05
COMPRESSOR_D,2026-02-26 14:24:30,72.84,1.719,4.12
PUMP_A,2026-02-26 14:24:32,92.62,4.719,2.84
PUMP_B,2026-02-26 14:24:32,69.54,1.486,4.01
MOTOR_C,2026-02-26 14:24:32,67.01,1.037,4.44
COMPRESSOR_D,2026-02-26 14:24:32,67.42,2.263,3.87
PUMP_A,2026-02-26 14:24:34,88.33,3.304,2.81
PUMP_B,2026-02-26 14:24:34,71.96,1.651,4.56
MOTOR_C,2026-02-26 14:24:34,67.63,2.267,4.53
COMPRESSOR_D,2026-02-26 14:24:34,72.75,1.76,4.78
PUMP_A,2026-02-26 14:24:36,88.43,4.236,2.11
PUMP_B,2026-02-26 14:24:36,71.9,2.107,4.58
MOTOR_C,2026-02-26 14:24:36,62.26,1.233,4.36
COMPRESSOR_D,2026-02-26 14:24:36,66.0,1.865,4.7
PUMP_A,2026-02-26 14:24:38,94.74,4.589,2.91
PUMP_B,2026-02-26 14:24:38,71.72,1.034,4.46
MOTOR_C,2026-02-26 14:24:38,62.24,1.73,4.4
COMPRESSOR_D,2026-02-26 14:24:38,62.37,1.558,4.1
PUMP_A,2026-02-26 14:24:40,88.99,4.115,2.67
PUMP_B,2026-02-26 14:24:40,65.01,1.326,3.76
MOTOR_C,2026-02-26 14:24:40,63.03,1.195,3.76
COMPRESSOR_D,2026-02-26 14:24:40,62.73,1.28,4.29
PUMP_A,2026-02-26 14:24:42,83.1,4.66,2.7
PUMP_B,2026-02-26 14:24:42,67.15,2.365,3.91
MOTOR_C,2026-02-26 14:24:42,69.76,1.537,3.62
COMPRESSOR_D,2026-02-26 14:24:42,62.27,2.058,4.21
PUMP_A,2026-02-26 14:24:44,86.44,3.407,2.65
PUMP_B,2026-02-26 14:24:44,73.75,1.245,4.6
MOTOR_C,2026-02-26 14:24:44,62.74,1.023,3.65
COMPRESSOR_D,2026-02-26 14:24:44,68.13,1.254,4.63
PUMP_A,2026-02-26 14:24:46,94.25,4.205,2.52
PUMP_B,2026-02-26 14:24:46,73.3,1.75,4.58
MOTOR_C,2026-02-26 14:24:46,68.07,1.769,3.94
COMPRESSOR_D,2026-02-26 14:24:46,71.02,1.589,4.31
PUMP_A,2026-02-26 14:24:46,91.72,4.037,2.82
PUMP_B,2026-02-26 14:24:46,66.26,2.347,3.71
MOTOR_C,2026-02-26 14:24:46,65.99,1.282,4.79
COMPRESSOR_D,2026-02-26 14:24:46,73.39,1.226,4.63
PUMP_A,2026-02-26 14:24:48,92.95,3.794,2.45
PUMP_B,2026-02-26 14:24:48,69.06,1.108,4.18
MOTOR_C,2026-02-26 14:24:48,71.03,2.02,4.11
COMPRESSOR_D,2026-02-26 14:24:48,65.3,1.809,4.65
PUMP_A,2026-02-26 14:24:50,83.32,4.222,2.64
PUMP_B,2026-02-26 14:24:50,66.54,1.759,4.23
MOTOR_C,2026-02-26 14:24:50,63.12,1.526,3.83
COMPRESSOR_D,2026-02-26 14:24:50,65.0,2.355,3.74
PUMP_A,2026-02-26 14:24:52,83.99,4.728,2.34
PUMP_B,2026-02-26 14:24:52,66.07,2.213,4.69
MOTOR_C,2026-02-26 14:24:52,64.75,2.021,4.16
COMPRESSOR_D,2026-02-26 14:24:52,68.67,1.156,4.7
PUMP_A,2026-02-26 14:24:54,89.3,3.698,2.24
PUMP_B,2026-02-26 14:24:54,66.71,2.27,4.54
MOTOR_C,2026-02-26 14:24:54,68.86,2.328,4.13
COMPRESSOR_D,2026-02-26 14:24:54,72.54,1.279,4.43
PUMP_A,2026-02-26 14:24:56,93.69,4.444,2.03
PUMP_B,2026-02-26 14:24:56,70.81,1.421,4.59
MOTOR_C,2026-02-26 14:24:56,67.79,1.428,4.6
COMPRESSOR_D,2026-02-26 14:24:56,67.78,1.234,4.21
PUMP_A,2026-02-26 14:24:58,85.8,4.785,2.45
PUMP_B,2026-02-26 14:24:58,73.78,1.846,4.63
MOTOR_C,2026-02-26 14:24:58,62.27,2.284,3.66
COMPRESSOR_D,2026-02-26 14:24:58,72.44,1.89,4.41
PUMP_A,2026-02-26 14:25:00,94.49,4.619,2.23
PUMP_B,2026-02-26 14:25:00,63.2,2.344,4.3
MOTOR_C,2026-02-26 14:25:00,65.07,1.82,4.34
COMPRESSOR_D,2026-02-26 14:25:00,70.43,1.093,4.77
PUMP_A,2026-02-26 14:25:02,92.15,3.728,2.27
PUMP_B,2026-02-26 14:25:02,66.05,2.292,4.0
MOTOR_C,2026-02-26 14:25:02,70.95,1.391,4.19
COMPRESSOR_D,2026-02-26 14:25:02,69.74,2.353,4.38
PUMP_A,2026-02-26 14:25:04,82.85,4.759,2.87
PUMP_B,2026-02-26 14:25:04,72.53,1.856,4.72
MOTOR_C,2026-02-26 14:25:04,72.56,1.579,4.17
COMPRESSOR_D,2026-02-26 14:25:04,70.56,2.226,3.82
PUMP_A,2026-02-26 14:25:06,82.09,4.003,2.45
PUMP_B,2026-02-26 14:25:06,71.64,1.48,4.03
MOTOR_C,2026-02-26 14:25:06,71.95,1.694,3.81
COMPRESSOR_D,2026-02-26 14:25:06,73.03,2.043,4.78
PUMP_A,2026-02-26 14:25:08,90.44,3.996,2.88
PUMP_B,2026-02-26 14:25:08,70.89,1.765,4.43
MOTOR_C,2026-02-26 14:25:08,64.15,1.658,4.2
COMPRESSOR_D,2026-02-26 14:25:08,72.34,1.097,3.66
PUMP_A,2026-02-26 14:25:10,88.8,4.383,2.42
PUMP_B,2026-02-26 14:25:10,63.45,2.188,3.93
MOTOR_C,2026-02-26 14:25:10,65.73,1.424,4.14
COMPRESSOR_D,2026-02-26 14:25:10,62.88,1.592,3.83
PUMP_A,2026-02-26 14:25:12,92.43,3.436,2.1
PUMP_B,2026-02-26 14:25:12,62.93,2.31,4.05
MOTOR_C,2026-02-26 14:25:12,67.6,1.33,4.66
COMPRESSOR_D,2026-02-26 14:25:12,64.28,1.161,4.72
PUMP_A,2026-02-26 14:25:14,86.91,3.837,2.43
PUMP_B,2026-02-26 14:25:14,65.97,1.049,3.97
MOTOR_C,2026-02-26 14:25:14,70.33,1.984,3.75
COMPRESSOR_D,2026-02-26 14:25:14,69.12,1.904,3.92
PUMP_A,2026-02-26 14:25:16,90.52,4.283,2.75
PUMP_B,2026-02-26 14:25:16,64.5,1.796,4.48
MOTOR_C,2026-02-26 14:25:16,68.19,1.154,4.57
COMPRESSOR_D,2026-02-26 14:25:16,71.39,1.633,4.09
PUMP_A,2026-02-26 14:25:16,94.23,3.517,2.57
PUMP_B,2026-02-26 14:25:16,68.79,1.423,4.0
MOTOR_C,2026-02-26 14:25:16,67.25,1.793,4.63
COMPRESSOR_D,2026-02-26 14:25:16,73.65,2.339,4.67
PUMP_A,2026-02-26 14:25:18,84.33,3.381,2.22
PUMP_B,2026-02-26 14:25:18,63.57,2.069,3.88
MOTOR_C,2026-02-26 14:25:18,72.7,1.087,3.82
COMPRESSOR_D,2026-02-26 14:25:18,64.9,1.351,4.3
PUMP_A,2026-02-26 14:25:20,83.72,3.335,2.01
PUMP_B,2026-02-26 14:25:20,67.34,2.157,4.48
MOTOR_C,2026-02-26 14:25:20,65.76,1.776,3.86
COMPRESSOR_D,2026-02-26 14:25:20,70.33,1.257,4.08
PUMP_A,2026-02-26 14:25:22,82.65,4.441,2.8
PUMP_B,2026-02-26 14:25:22,71.86,2.257,3.8
MOTOR_C,2026-02-26 14:25:22,73.54,1.436,4.7
COMPRESSOR_D,2026-02-26 14:25:22,71.4,1.743,4.67
PUMP_A,2026-02-26 14:25:24,88.48,3.648,2.2
PUMP_B,2026-02-26 14:25:24,71.01,2.155,4.11
MOTOR_C,2026-02-26 14:25:24,64.24,1.62,4.02
COMPRESSOR_D,2026-02-26 14:25:24,66.09,2.148,3.74
PUMP_A,2026-02-26 14:25:26,85.31,3.452,2.01
PUMP_B,2026-02-26 14:25:26,62.57,1.39,4.15
MOTOR_C,2026-02-26 14:25:26,64.48,2.397,4.3
COMPRESSOR_D,2026-02-26 14:25:26,66.34,1.379,4.44
PUMP_A,2026-02-26 14:25:28,88.4,4.264,2.05
PUMP_B,2026-02-26 14:25:28,72.27,1.819,4.53
MOTOR_C,2026-02-26 14:25:28,63.32,1.421,4.01
COMPRESSOR_D,2026-02-26 14:25:28,66.06,1.524,3.87
PUMP_A,2026-02-26 14:25:30,94.19,3.308,2.01
PUMP_B,2026-02-26 14:25:30,73.47,1.019,4.58
MOTOR_C,2026-02-26 14:25:30,63.48,1.078,4.56
COMPRESSOR_D,2026-02-26 14:25:30,71.68,1.625,4.34
PUMP_A,2026-02-26 14:25:32,90.04,4.463,2.88
PUMP_B,2026-02-26 14:25:32,71.86,1.226,4.71
MOTOR_C,2026-02-26 14:25:32,62.94,2.236,4.39
COMPRESSOR_D,2026-02-26 14:25:32,72.98,2.215,4.65
PUMP_A,2026-02-26 14:25:34,87.12,3.928,2.91
PUMP_B,2026-02-26 14:25:34,69.47,1.36,4.71
MOTOR_C,2026-02-26 14:25:34,65.26,2.037,4.64
COMPRESSOR_D,2026-02-26 14:25:34,72.44,2.134,4.62
PUMP_A,2026-02-26 14:25:36,94.83,3.708,2.49
PUMP_B,2026-02-26 14:25:36,72.03,1.784,4.3
MOTOR_C,2026-02-26 14:25:36,63.95,1.367,4.37
COMPRESSOR_D,2026-02-26 14:25:36,62.56,1.941,4.74
PUMP_A,2026-02-26 14:25:38,88.48,4.559,2.42
PUMP_B,2026-02-26 14:25:38,66.37,2.04,4.45
MOTOR_C,2026-02-26 14:25:38,65.71,2.045,4.28
COMPRESSOR_D,2026-02-26 14:25:38,64.46,1.067,4.13
PUMP_A,2026-02-26 14:25:40,92.89,4.523,2.3
PUMP_B,2026-02-26 14:25:40,70.14,2.135,4.44
MOTOR_C,2026-02-26 14:25:40,63.27,1.76,3.78
COMPRESSOR_D,2026-02-26 14:25:40,68.66,1.967,3.64
PUMP_A,2026-02-26 14:25:42,87.25,4.656,2.02
PUMP_B,2026-02-26 14:25:42,70.7,1.198,4.23
MOTOR_C,2026-02-26 14:25:42,68.28,1.708,3.8
